Название,Вес,Цена,Ссылка
Sanabelle Kitten (Санабелль Киттен) - корм для котят до года и беременных кошек  + набор (лакомство на выбор и наполнитель) 2кг+5л,"['0.4кг', '2кг', '2кг+5л', '10кг', '10кг+10л', '10кг+']","['15.74 руб.', '65.30 руб.', '77.00 руб.', '228.86 руб.', '244.88 руб.', '258.80 руб.']",https://kormbosch.by/product/sanabelle-kitten-sanabell-kitten-korm-dlja-kotjat-do-goda-i-beremennyx-koshek-nabor-lakomstvo-na-vybor-i-napolnitel-2kg5l
Sanabelle Sensitive with poultry (Санабелль Сенсетив с птицей + лакомство на выбор) - корм для кошек от года  2кг,"['0.4кг', '2кг', '10кг', '10кг+контейнер']","['15.10 руб.', '61.80 руб.', '210.70 руб.', '240.70 руб.']",https://kormbosch.by/product/korm-dlja-koshek-ot-goda-sanabelle-sensitive-with-poultry-sanabell-sensetiv-s-ptitsej-2kg
Sanabelle Sterilized (Санабелль Стерилайзд) - корм для стерилизованных кошек  10кг+контейнер,"['0.4кг', '2кг', '10кг', '10кг+контейнер']","['19.98 руб.', '93.38 руб.', '279.42 руб.', '309.40 руб.']",https://kormbosch.by/product/sanabelle-sterilized-sanabell-sterilajzd-kontejner-korm-dlja-sterilizovannyx-koshek-10kgkontejner
Sanabelle Adult with poultry (Санабелль Эдалт с птицей + лакомство на выбор) - корм для кошек от года 2кг,"['0.4кг', '2кг', '10кг', '10кг+контейнер']","['13.52 руб.', '56.30 руб.', '203.36 руб.', '233.30 руб.']",https://kormbosch.by/product/korm-dlja-koshek-ot-goda-sanabelle-adult-with-poultry-sanabell-edalt-s-ptitsej-2kg
Sanabelle Sensitive with Lamb (Санабелль Сенсетив с ягненком) - корм от года + набор (лакомство на выбор и наполнитель) 2кг+5л,"['0.4кг', '2кг', '2кг+5л', '10кг', '10кг+10л', '10кг+']","['16.02 руб.', '66.10 руб.', '77.80 руб.', '208.77 руб.', '254.77 руб.', '238.70 руб.']",https://kormbosch.by/product/sanabelle-sensitive-with-lamb-sanabell-sensetiv-s-jagnenkom-korm-dlja-koshek-ot-goda-nabor-lakomstvo-na-vybor-i-napolnitel-2kg5l
